300648, 星云股份, 40.97
600773, 西藏城投, 8.37
300928, 华安鑫创, 54.82
002288, 超华科技, 9.40
003010, 若羽臣, 27.73
300056, 中创环保, 5.21
300749, 顶固集创, 8.24
600827, 百联股份, 17.86
300747, 锐科激光, 94.15
002585, 双星新材, 9.67
003011, 海象新材, 58.31
002355, 兴民智通, 4.25
002978, 安宁股份, 44.60
000591, 太阳能, 7.34
300023, 宝德股份, 11.61
601187, 厦门银行, 11.79
300585, 奥联电子, 12.86
688589, 力合微, 31.38
300387, 富邦股份, 7.22
300092, 科新机电, 8.77
002539, 云图控股, 7.23
605255, 天普股份, 14.81
600684, 珠江实业, 2.76
600658, 电子城, 5.04
300873, 海晨股份, 42.51
300304, 云意电气, 4.88
300875, 捷强装备, 92.00
300839, 博汇股份, 21.41
688004, 博汇科技, 43.89
000766, 通化金马, 3.34
603829, 洛凯股份, 10.07
600079, 人福医药, 29.89
002278, 神开股份, 6.37
300731, 科创新源, 21.25
002631, 德尔未来, 7.09
300379, 东方通, 45.90
300487, 蓝晓科技, 50.38
300743, 天地数码, 13.90
003012, 东鹏控股, 14.98
600191, 华资实业, 5.73
300132, 青松股份, 20.11
300469, 信息发展, 9.52
300848, 美瑞新材, 48.21
603657, 春光科技, 16.37
600320, 振华重工, 3.78
300237, 美晨生态, 2.52
300887, 谱尼测试, 84.82
688598, 金博股份, 181.00
603181, 皇马科技, 21.91
300819, 聚杰微纤, 30.80
300385, 雪浪环境, 7.11
300309, 吉艾科技, 2.37
300891, 惠云钛业, 18.81
603238, 诺邦股份, 29.04
002665, 首航高科, 1.83
300055, 万邦达, 5.87
300919, 中伟股份, 91.10
603128, 华贸物流, 10.88
300792, 壹网壹创, 110.06
600810, 神马股份, 9.08
688288, 鸿泉物联, 33.64
003003, 天元股份, 13.60
300490, 华自科技, 9.32
000921, 海信家电, 15.85
300871, 回盛生物, 42.91
300135, 宝利国际, 2.24
002461, 珠江啤酒, 9.35
688039, 当虹科技, 59.30
300877, 金春股份, 49.34
002862, 实丰文化, 9.01
000911, 南宁糖业, 8.09
300690, 双一科技, 56.84
300126, 锐奇股份, 6.59
605399, 晨光新材, 16.46
603161, 科华控股, 16.86
002715, 登云股份, 18.04
603059, 倍加洁, 21.08
002476, 宝莫股份, 3.99
300140, 中环装备, 5.14
601225, 陕西煤业, 10.72
300343, 联创股份, 2.68
002615, 哈尔斯, 4.02
300922, 天秦装备, 47.50
300817, 双飞股份, 24.37
002865, 钧达股份, 19.00
603007, 花王股份, 4.80
600666, ST瑞德, 0.96
300851, 交大思诺, 34.57
300365, 恒华科技, 9.61
688100, 威胜信息, 21.93
003028, 振邦智能, 38.69
300446, ST乐凯, 7.52
688313, 仕佳光子-U, 21.81
002530, 金财互联, 8.72
605188, 国光连锁, 8.77
300915, 海融科技, 77.21
300434, 金石亚药, 7.62
002920, 德赛西威, 103.38
300444, 双杰电气, 4.70
300898, 熊猫乳品, 53.47
600338, 西藏珠峰, 9.41
603658, 安图生物, 155.19
002534, 杭锅股份, 8.83
002487, 大金重工, 8.05
300116, 保力新, 2.16
002256, *ST兆新, 1.18
300217, 东方电热, 3.16
000026, 飞亚达, 11.49
000980, *ST众泰, 1.39
300384, 三联虹普, 13.71
603996, *ST中新, 1.59
300037, 新宙邦, 85.81
300809, 华辰装备, 15.15
688085, 三友医疗, 38.00
600122, *ST宏图, 1.00
603506, 南都物业, 22.21
300242, 佳云科技, 4.41
605377, 华旺科技, 19.66
688568, 中科星图, 52.35
688309, 恒誉环保, 30.25
000971, *ST高升, 2.22
300661, 圣邦股份, 291.00
000707, ST双环, 2.02
300411, 金盾股份, 7.89
300797, 钢研纳克, 15.00
300335, 迪森股份, 4.87
300756, 中山金马, 20.11
002395, 双象股份, 13.61
300780, 德恩精工, 14.25
002188, ST巴士, 2.24
000017, *ST中华A, 2.24
002076, *ST雪莱, 2.04
603267, 鸿远电子, 138.58
605178, 时空科技, 47.63
600225, *ST松江, 1.23
603855, 华荣股份, 14.40
002647, 仁东控股, 9.91
300857, 协创数据, 26.46
688369, 致远互联, 65.14
600836, *ST界龙, 5.39
603678, 火炬电子, 74.99
600408, ST安泰, 2.29
300771, 智莱科技, 27.38
300695, 兆丰股份, 58.56
300856, 科思股份, 52.52
300826, 测绘股份, 28.46
688198, 佰仁医疗, 82.54
002681, *ST奋达, 4.19
002290, ST禾盛, 5.66
300197, 铁汉生态, 2.94
000868, ST安凯, 3.57
000863, 三湘印象, 4.83
300727, 润禾材料, 26.74
688219, 会通股份, 17.29
300926, 博俊科技, 28.89
688390, 固德威, 274.62
600311, *ST荣华, 1.48
002280, *ST联络, 1.48
002056, 横店东磁, 17.55
600319, ST亚星, 7.62
002822, 中装建设, 6.14
300535, 达威股份, 12.10
600877, ST电能, 11.05
002758, 浙农股份, 11.05
600740, 山西焦化, 5.96
605128, 上海沿浦, 27.04
603709, 中源家居, 20.23
600354, *ST敦种, 4.69
300662, 科锐国际, 48.85
600595, *ST中孚, 1.92
002058, 威 尔 泰, 11.77
603822, 嘉澳环保, 17.36
002622, 融钰集团, 2.36
002303, 美盈森, 3.65
300588, 熙菱信息, 7.52
600661, 昂立教育, 14.89
300615, 欣天科技, 11.44
300808, 久量股份, 14.25
688516, 奥特维, 71.88
300050, 世纪鼎利, 4.98
002483, 润邦股份, 5.00
600652, ST游久, 1.74
600146, *ST环球, 0.87
300051, 三五互联, 4.35
002147, *ST新光, 0.87
600358, *ST联合, 2.83
300795, 米奥会展, 15.93
600293, 三峡新材, 2.62
300742, 越博动力, 20.11
300833, 浩洋股份, 41.49
600858, 银座股份, 5.93
002719, *ST麦趣, 7.03
300612, 宣亚国际, 16.49
300517, 海波重科, 15.62
300125, 聆达股份, 13.65
002213, 大为股份, 12.99
300096, 易联众, 7.49
300836, 佰奥智能, 43.88
601116, 三江购物, 10.17
300283, 温州宏丰, 4.87
603456, 九洲药业, 33.45
002187, 广百股份, 7.76
002679, 福建金森, 9.99
000816, 智慧农业, 3.33
688156, 路德环境, 18.43
300417, 南华仪器, 11.55
300264, 佳创视讯, 3.11
300526, 中潜股份, 68.90
605007, 五洲特纸, 21.18
300805, 电声股份, 17.18
000009, 中国宝安, 7.38
300908, 仲景食品, 73.13
002925, 盈趣科技, 64.65
003015, 日久光电, 13.20
300375, 鹏翎股份, 4.48
002694, 顾地科技, 2.24
002318, 久立特材, 13.45
002812, 恩捷股份, 139.24
000881, 中广核技, 11.22
002375, 亚厦股份, 8.78
000526, 紫光学大, 48.89
